nodes,node_labels,adj_labels,adj_nodes
acqsc_charter_of_rights_a5_booklet_-_chinese_simplified.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Simplified Chinese', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_chinese_traditional.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Traditional Chinese', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_croatian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Croatian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_dutch.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Dutch', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_german.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'German', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_greek.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Greek', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_hindi.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Hindi', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_hungarian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Hungarian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_italian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Italian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_korean.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Korean', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_macedonian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Macedonian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_maltese.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Maltese', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_polish.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Polish', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_russian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Russian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_serbian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Serbian', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_spanish.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Spanish', 'Charter of Aged Care Rights', 'Booklet']"
acqsc_charter_of_rights_a5_booklet_-_vietnamese.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY', 'CATEGORY']","['Charter of Rights Booklet', 'Vietnamese', 'Charter of Aged Care Rights', 'Booklet']"
restraint_scenarios_v1.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['Restrain Scenarios', 'Charter of Aged Care Rights', 'Restrain Scenarios']"
ACQSC-Complaints-policy.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Complaints', 'Policy', 'Complaints']"
acqsc_complaints_about_us_form.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Complaints', 'Policy', 'Complaints']"
CER Media Release 18 August 2017 FINAL.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Complaints', 'Policy', 'Complaints']"
Complaints policy.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Complaints', 'Policy', 'Complaints']"
acqsc_consumer_engagement_in_aged_care_-_literature_review.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Consumer Experience', 'Consumer Experience']"
acqsc_consumer_engagement_in_aged_care_-_survey_report.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Consumer Experience', 'Report', 'Consumer Experience']"
Consumer Experience Report 2018-2019.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Consumer Experience', 'Report', 'Consumer Experience']"
Consumers’ Experience of the Quality of Care and Services - Aged Care Services.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Consumer Experience', 'Consumer Experience']"
Consumers’ Experience of the Quality of Care and Services - Aged Care Services_accessible.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Consumer Experience', 'Consumer Experience']"
Consumers’ Experience of the Quality of Care and Services - Aged Care Services_accessible_2.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Consumer Experience', 'Consumer Experience']"
arabic_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Arabic', 'Dept Health']"
arabic_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Arabic', 'Dept Health']"
chinese_simplified_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Simplified Chinese', 'Dept Health']"
chinese_simplified_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Simplified Chinese', 'Dept Health']"
chinese_traditional_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Traditional Chinese', 'Dept Health']"
chinese_traditional_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Traditional Chinese', 'Dept Health']"
croatian_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Croatian', 'Dept Health']"
croatian_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Croatian', 'Dept Health']"
dutch_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Dutch', 'Dept Health']"
dutch_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Dutch', 'Dept Health']"
german_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'German', 'Dept Health']"
german_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'German', 'Dept Health']"
greek_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Greek', 'Dept Health']"
greek_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Greek', 'Dept Health']"
hindi_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Hindi', 'Dept Health']"
hindi_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Hindi', 'Dept Health']"
hungarian_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Hungarian', 'Dept Health']"
hungarian_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Hungarian', 'Dept Health']"
italian_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Italian', 'Dept Health']"
italian_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Italian', 'Dept Health']"
korean_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Korean', 'Dept Health']"
korean_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Korean', 'Dept Health']"
macedonian_-_dept_health_-_charter_of_aged_care_rights_0.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Macedonian', 'Dept Health']"
macedonian_-_dept_health_-_charter_of_aged_care_rights_0.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Macedonian', 'Dept Health']"
maltese_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Maltese', 'Dept Health']"
maltese_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Maltese', 'Dept Health']"
polish_-_dept_health_-_charter_of_aged_care_rights_0.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Polish', 'Dept Health']"
polish_-_dept_health_-_charter_of_aged_care_rights_0.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Polish', 'Dept Health']"
russian_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Russian', 'Dept Health']"
russian_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Russian', 'Dept Health']"
serbian_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Serbian', 'Dept Health']"
serbian_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Serbian', 'Dept Health']"
spanish_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Spanish', 'Dept Health']"
spanish_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Spanish', 'Dept Health']"
vietnamese_-_dept_health_-_charter_of_aged_care_rights.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Vietnamese', 'Dept Health']"
vietnamese_-_dept_health_-_charter_of_aged_care_rights.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Dept Health', 'Vietnamese', 'Dept Health']"
ACQSC_Open_Disclosure.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Handbooks', 'Handbook']"
acqsc_psychotropic_medications_v11.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Handbooks', 'Handbook']"
acqsc_resolving-concerns-factsheet_0.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Handbooks', 'Handbook', 'Fact sheet']"
acqsc_working_with_aged_care_consumers_-_resource.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Handbooks', 'Handbook']"
Design Your Care Activity - updated v2.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Handbooks', 'Handbook']"
design_your_care_activity_-_updated.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Handbooks', 'Handbook']"
referrals_to_other_organisations_fact_sheet_jan_2020.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Handbooks', 'Handbook', 'Fact sheet']"
ACQSC Application Cover form.doc,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Human Resources', 'Human Resources']"
Complaints Officer APS5 APS6- Job Package- Temp register.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Human Resources', 'Human Resources']"
Fact sheet Human resource management.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Human Resources', 'Human Resources']"
Senior Quality Assessor - Job Papackage- Temp Register .pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Human Resources', 'Human Resources']"
Fact sheet - changes to the Rules - external facing.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Key changes for providers', 'Fact sheet', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Accreditation and re-accreditation.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Assessment contacts.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Quality reviews.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Review audits.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Serious risk.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Key changes for providers from January 1 2020 - Timetable for improvement.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Key changes for providers', 'Key Changes for Providers']"
Newsletter - April 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Newsletter - August 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Newsletter - February 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Newsletter - June 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Newsletter - March 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Newsletter - May 2019 _ Aged Care Quality and Safety Commission.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Newsletter', 'Newsletter']"
Notice of Collection - Arabic_0.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Arabic', 'Notice of Collection']"
Notice of Collection.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'English', 'Notice of Collection']"
Notice of Collection_2.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'English', 'Notice of Collection']"
notice_of_collection_-_dutch.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Dutch', 'Notice of Collection']"
notice_of_collection_-_french.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'French', 'Notice of Collection']"
notice_of_collection_-_german.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'German', 'Notice of Collection']"
notice_of_collection_-_greek.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Greek', 'Notice of Collection']"
notice_of_collection_-_hindi.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Hindi', 'Notice of Collection']"
notice_of_collection_-_hungarian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Hungarian', 'Notice of Collection']"
notice_of_collection_-_korean.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Korean', 'Notice of Collection']"
notice_of_collection_-_latvian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Latvian', 'Notice of Collection']"
notice_of_collection_-_macedonian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Macedonian', 'Notice of Collection']"
notice_of_collection_-_polish.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Polish', 'Notice of Collection']"
notice_of_collection_-_portuguese.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Portuguese', 'Notice of Collection']"
notice_of_collection_-_russian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Russian', 'Notice of Collection']"
notice_of_collection_-_serbian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Serbian', 'Notice of Collection']"
notice_of_collection_-_turkish.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Turkish', 'Notice of Collection']"
notice_of_collection_-_ukranian.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['ACQSC Notice of Collection', 'Ukrainian', 'Notice of Collection']"
rb_2019-03_exclusion_of_specific_dates_for_unannounced_visits.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-03_exclusion_of_specific_dates_for_unannounced_visits_0.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-04_responding_to_non-compliance_with_the_acqs.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-04_responding_to_non-compliance_with_the_acqs.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-05_acqs_performance_assessment_methodology.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-05_acqs_performance_assessment_methodology_0.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-06_regulatory_decision-making.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-06_regulatory_decision-making.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-07_reconsideration_of_regulatory_decisions.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-07_reconsideration_of_regulatory_decisions.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-08_regulation_of_physical_and_chemical_restraint_0.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2019-08_v2.1.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-09_assessment_contacts_in_residential_and_home_services.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-09_assessment_contacts_in_residential_and_home_services_0.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-10_quality-assessor-registration.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-10_quality_assessor_registration.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-11_publication_of_provider_performance_information_07_2020.docx,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
rb_2020-11_publication_of_provider_performance_information_07_2020.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Regulatory Bulletin', 'Regulatory Bulletin']"
ACQSC Sector Performance Data_April - June 2019.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Sector Performance', 'Sector Performance']"
ACQSC-001-Sector_Performance_Data_JUL-DEC18_v12.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Sector Performance', 'Sector Performance']"
ACQSC_Sector_Performance_Data_JAN-MAR19_v5.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Sector Performance', 'Sector Performance']"
ACQSC_Sector_Performance_Data_JUL-SEP_2019.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Sector Performance', 'Sector Performance']"
ACQSC_Sector_Performance_Data_October-December_2019 final.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Sector Performance', 'Sector Performance']"
Commission Statement of Expectations - 25 February 2019.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Statements', 'Statements ']"
Commission Statement of Intent 2019.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Statements', 'Statements ']"
Social Media Acceptable Use Policy - Aged Care Quality and safety.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Statements', 'Statements ']"
Social Media Disclaimer.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Statements', 'Statements ']"
Social Media Privacy Statement - Aged Care Quality and safety_1.pdf,FILE,"['FOLDER', 'CATEGORY']","['ACQSC Statements', 'Statements ']"
a3_poster_-_how_to_stay_safe_from_covid-19.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'COVID-19', 'Poster ']"
a3_poster_-_what_to_expect_during_a_covid-19_outbreak.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Poster', 'COVID-19']"
a4_guide_-_what_to_expect_during_a_covid-19_outbreak.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
a4_how-to_guide_-_how_to_stay_safe_from_covid-19.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
ACQSC Schematic.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
acqsc_factsheet_res_covid_questions_v4.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Fact sheet', 'COVID-19']"
acqsc_fact_sheet_industry_code_covid_visit.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Fact sheet', 'COVID-19']"
are_you_alert_and_ready_-_home_care_services.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
are_you_alert_and_ready_residential_all_states.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
are_you_alert_and_ready_v1.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
Correspondence_COVID_Preparedness_7_July_2020.pdf,FILE,"['FOLDER', 'CATEGORY']","['COVID-19', 'COVID-19']"
covid-19-flowchart_a3_posters_v12.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Poster', 'COVID-19']"
covid-19_-_etiquette_-_coughing.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_-_etiquette_-_sneezing.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_keeping_yourself_safe_storyboard.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_keeping_yourself_safe_storyboard_explainer.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_keeping_yourself_safe_storyboard_explainer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_keeping_your_loved_one_safe_in_residential_care_storyboard_user_guide.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_keeping_your_loved_one_safe_in_residential_care_storyboard_user_guide.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_self_isolation_storyboard.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_self_isolation_storyboard_explainer.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_self_isolation_storyboard_explainer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_social_and_physical_distancing_storyboard.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_social_and_physical_distancing_storyboard_explainer.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_social_and_physical_distancing_storyboard_explainer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_staying_safe_in_rural_and_remote_communities_storyboard.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_staying_safe_in_rural_and_remote_communities_storyboard_explainer.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_staying_safe_in_rural_and_remote_communities_storyboard_explainer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_working_safely_in_community_care_storyboard.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_working_safely_in_community_care_storyboard_explainer.docx,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
covid-19_working_safely_in_community_care_storyboard_explainer.pdf,FILE,"['FOLDER', 'CATEGORY', 'CATEGORY']","['COVID-19', 'Storyboard', 'COVID-19']"
